feature,importance_stage1,importance_stage2,importance_avg
recent_surgery_1y_flag,0.25195274,0.05429646,0.1531246
serious_disease_count,0.0,0.15163477,0.075817384
disease_count,0.075251006,0.07606545,0.07565823
recent_fall_flag,0.038307063,0.11051747,0.07441227
short_hours_flag,0.13524649,0.009540513,0.0723935
comorbidity_score,0.10125957,0.043261755,0.07226066
high_medication_flag,0.10948101,0.02233042,0.06590571
surgery_high_impact_flag,0.09158195,0.028708862,0.060145404
surgery_recovery_incomplete_flag,0.0,0.11024406,0.05512203
joint_disease_flag,0.0,0.08363972,0.04181986
walking_aid_flag,0.07130235,0.009501687,0.040402018
hypertension_flag,0.0,0.07491503,0.037457515
recent_surgery_3y_flag,0.05529692,0.0,0.02764846
chronic_disease_count,0.0,0.04689476,0.02344738
medicine_count_num,0.021799322,0.013893807,0.017846566
recent_fall_count,0.0,0.034132272,0.017066136
fine_motor_limited_flag,0.008957981,0.024406858,0.01668242
walking_limited_flag,0.009808581,0.022312358,0.01606047
diabetes_flag,0.0,0.024192521,0.012096261
has_surgery_flag,0.00017343088,0.023364374,0.011768903
surgery_count_num,0.00010921317,0.013882425,0.006995819
vision_limited_flag,0.008789772,0.0042038066,0.0064967894
hearing_limited_flag,0.00854175,0.004326014,0.006433882
max_hours_num,0.009496591,0.0019540242,0.0057253074
lung_disease_flag,0.0,0.0041407933,0.0020703967
cancer_flag,0.0,0.0023888194,0.0011944097
age_num,0.0008269174,0.0005832699,0.00070509367
very_high_medication_flag,0.0,0.0011681517,0.00058407587
bmi,0.00042245374,0.00057529076,0.00049887225
very_short_hours_flag,0.0,0.00091451843,0.00045725922
age_70plus,0.00035548036,0.00047075664,0.0004131185
gender_flag,0.00032254998,0.00040927395,0.00036591198
bmi_underweight_flag,0.0002479841,0.00043310065,0.00034054238
bmi_obese_flag,0.00021855661,0.0003775092,0.0002980329
age_80plus,0.00025036943,0.00031911978,0.0002847446
liver_disease_flag,0.0,0.0,0.0
heart_disease_flag,0.0,0.0,0.0
dementia_flag,0.0,0.0,0.0
stroke_flag,0.0,0.0,0.0
kidney_disease_flag,0.0,0.0,0.0
